,Gene_ID,adipose_tissue,adrenal_gland,brain,breast,colon,heart,kidney,leukocyte,liver,lung,lymph_node,ovary,prostate_gland,skeletal_muscle_tissue,testis,thyroid_gland,genebody_gc,exon_gc,intron_gc,TSS1k_gc,TSS5k_gc,micropeptide_aa_avg,exon_phastCons20way,intron_phastCons20way,TSS1k_phastCons20way,TSS1k_LINE,TSS1k_LTR,TSS1k_Satellite,TSS1k_SINE,genebody_SINE,genebody_Satellite,genebody_LTR,genebody_LINE,host_miRNAs,AKT1,APC,BRAF,CDKN2A,CTNNB1,EGFR,ERBB2,FBXW7,GNAS,H3F3A,HRAS,IDH1,KRAS,NRAS,PIK3CA,PTEN,RAC1,SF3B1,TP53,U2AF1,genebody_Gm12878H3k27ac,genebody_Gm12878H3k4me1,genebody_Gm12878H3k4me3,genebody_H1hescH3k27ac,genebody_H1hescH3k4me1,genebody_H1hescH3k4me3,genebody_K562H3k27ac,genebody_K562H3k4me1,genebody_K562H3k4me3,TSS1k_Gm12878H3k27ac,TSS1k_Gm12878H3k4me1,TSS1k_Gm12878H3k4me3,TSS1k_H1hescH3k27ac,TSS1k_H1hescH3k4me1,TSS1k_H1hescH3k4me3,TSS1k_K562H3k27ac,TSS1k_K562H3k4me1,TSS1k_K562H3k4me3,TSS5k_Gm12878H3k27ac,TSS5k_Gm12878H3k4me1,TSS5k_Gm12878H3k4me3,TSS5k_H1hescH3k27ac,TSS5k_H1hescH3k4me1,TSS5k_H1hescH3k4me3,TSS5k_K562H3k27ac,TSS5k_K562H3k4me1,TSS5k_K562H3k4me3,cancer-miRNA_targets,miRNA_targets,hbm_total_degree,hbm_cancer-protein_degree
0,ENSG00000083622,0.0,0.0,0.0,0.0,0.35625,0.158333,0.0,0.0,0.0,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.35817008797653993,0.43085106382978705,0.35752325498828397,0.37,0.3531,0.0,0.126716733333333,0.1350495,0.0831345,2,0,0,1,6,0,7,13,0,0.273022,-0.202374,0.00864813,-0.143118,0.129531,-0.129626,0.33752600000000005,-0.028274,0.310645,0.367274,0.157712,-0.306331,-0.151342,-0.402138,0.290141,-0.11225999999999998,0.22451999999999997,0.177025,-0.468815,-0.062885,1.8901400000000002,2.19308,1.96305,3.22515,2.52936,1.44277,1.6781599999999999,1.28135,2.05555,0.916667,3.3391300000000004,1.07733,1.04312,1.7249599999999998,1.59771,1.55789,1.06956,2.7389900000000003,1.30226,1.11315,1.7675900000000002,1.26696,1.41547,1.71948,1.4207100000000001,8.05691,2.61817,0,0,68,0
1,ENSG00000099869,0.0,0.0,0.0,0.11875,0.0,0.0,0.0,0.0,0.31666700000000003,0.0,0.0,0.19,0.07916669999999999,0.0,0.38,0.0,0.574822434484448,0.6249564308121299,0.547668491599018,0.6805,0.6161,0.0,0.0802508,0.0922817,0.205833,0,0,0,0,0,0,0,0,0,0.0951847,-0.00364638,0.136188,0.27678,0.03578630000000001,0.583746,0.028692500000000003,-0.059487,-0.597191,-0.189807,-0.0823691,0.690167,-0.111101,-0.050174699999999996,-0.194932,0.053679399999999995,-0.121673,-0.20756,0.261432,-0.156363,1.8891799999999999,2.56313,1.51651,1.6842599999999999,6.356669999999999,2.09692,1.3230000000000002,0.996527,1.1865299999999999,2.34536,1.30618,6.9767399999999995,1.0,1.37455,0.986667,1.4191799999999999,1.0702200000000002,0.0,1.67793,0.910744,1.18519,3.1368099999999997,2.72905,1.00245,23.386,3.95775,2.94355,0,0,168,1
2,ENSG00000115934,0.11875,0.095,0.0,0.0,0.11875,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.07916669999999999,0.0,0.0,0.095,0.383376564147878,0.428893905191874,0.382497784621642,0.3575,0.3876,0.0,0.017307405,0.20193,0.180502,1,0,0,0,10,0,8,19,0,0.251581,-0.341974,0.0340369,-0.0785173,0.274443,0.255089,0.310817,-0.311583,0.220752,0.15390399999999999,0.33076500000000003,0.113772,0.148061,0.15912300000000001,0.218004,0.310979,0.158888,0.117254,0.24063400000000001,0.0375517,1.1561,1.4613,1.8541400000000001,2.57571,1.85043,1.31705,1.7338799999999999,2.03594,1.70045,0.925,2.33193,1.12816,0.8945719999999999,1.02577,0.884028,1.06988,0.966443,1.0205899999999999,1.30139,0.9742770000000001,1.54413,0.9686100000000001,1.4060700000000002,0.9972409999999999,1.14729,1.73291,1.32346,0,0,0,0
3,ENSG00000117242,1.1875,1.9,0.83125,1.1875,0.7125,3.16667,0.95,0.678571,1.26667,0.475,0.791667,1.9,0.554167,0.95,0.95,1.9,0.49292230261088393,0.510240828269187,0.477817039654496,0.5265,0.4989,0.0,0.19767456666666697,0.1201235,0.09227350000000001,1,4,0,1,9,0,3,1,0,0.515986,0.36003,-0.24629299999999998,-0.29241100000000003,0.32445,0.306157,0.28433800000000004,0.304478,0.239828,-0.46776,0.0074129999999999995,0.190974,-0.135016,0.200299,-0.16517,0.154077,0.0414822,0.328895,0.265385,0.30952399999999997,1.14392,1.51795,1.4532399999999999,2.5735799999999998,2.1407700000000003,1.34792,2.5305299999999997,2.1818,2.06268,0.959259,3.01621,1.55273,1.26316,2.90452,1.32,1.4924899999999999,1.53865,1.5661200000000002,1.06907,3.3042800000000003,1.8095299999999999,1.0254,1.79405,0.9882559999999999,1.18682,1.5739,1.33713,5,6,26,0
4,ENSG00000122043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135714,0.0,0.0,0.31666700000000003,0.0,0.0,0.0,0.095,0.0,0.46592155787164,0.48335552596538,0.463919889925088,0.5175,0.4628,50.0,0.0568990942857143,0.0485056466666667,0.046607499999999996,0,0,0,0,4,0,4,3,0,-0.43553500000000006,0.032995800000000006,0.0475647,0.227687,-0.474946,-0.328386,-0.469508,0.173994,-0.444395,0.462334,-0.39752,0.0129435,0.0345925,0.0626989,0.26816100000000004,0.24179099999999998,-0.593683,-0.051812300000000006,0.155551,-0.24720300000000003,1.80007,3.3209,2.82153,2.81052,5.45289,1.92993,1.27922,1.16753,1.32075,4.469869999999999,3.3812300000000004,1.53726,0.986072,1.93563,0.918618,1.21091,1.37447,23.1057,1.0427600000000001,0.8705879999999999,1.45455,1.8546200000000002,1.71931,1.1581299999999999,1.57266,1.4506,1.15152,0,0,328,2
5,ENSG00000124835,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41009380367287607,0.433886149708651,0.40014986886474296,0.359,0.4098,0.0,0.0501952285714286,0.06290925,0.069178,1,0,0,0,0,0,1,3,0,0.25317,-0.028556900000000003,-0.224541,0.168905,0.140131,-0.308516,-0.16852999999999999,0.19764400000000001,0.19603900000000002,0.252422,0.0280469,-0.0840168,0.252608,0.308743,-0.313886,-0.140131,0.08407869999999999,0.420393,0.364609,0.422263,1.1935200000000001,1.58703,2.0935799999999998,2.78297,2.3117,1.4770299999999998,1.4059,1.06136,1.56192,1.85,1.64742,0.906122,1.00273,2.2932900000000003,1.22045,1.40476,1.45055,1.11891,1.73147,2.46667,1.45374,0.925,2.0114900000000002,1.7959200000000002,1.24058,5.2914699999999995,1.63085,0,0,1038,0
6,ENSG00000124915,0.0,0.0,0.11875,0.0,0.0,0.0,0.0,0.0,0.158333,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.5927618023828721,0.573554863274489,0.599468213681412,0.591,0.5855,0.0,0.10108612571428599,0.09433132,0.223834,0,0,0,0,3,0,0,1,0,-0.214517,0.140782,0.220527,0.0607165,-0.24179099999999998,0.319745,-0.389454,0.23924099999999998,-0.24161300000000002,-0.23980900000000002,0.0993801,0.159637,-0.051888800000000006,0.0497267,-0.21101199999999998,-0.198614,-0.153278,-0.351892,-0.278696,-0.082401,2.29339,3.94501,2.37166,3.35857,7.8011,3.5297099999999997,9.455860000000001,20.5128,9.67233,1.05751,4.43316,1.00963,0.92351,1.9360700000000002,0.92,1.25312,1.27778,1.83623,1.05033,4.053730000000001,1.04894,2.26424,1.27055,1.6472,1.9123599999999998,2.6282200000000002,1.28511,0,0,5053,10
7,ENSG00000125514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.589971550497866,0.55586592178771,0.649706457925636,0.589,0.5762,0.0,0.023175185,0.0114657033333333,0.015638,0,0,0,0,0,0,0,1,0,-0.2813,0.199898,0.364879,0.168905,-0.140131,0.196328,-0.028088299999999997,0.367054,-0.308062,0.196328,0.140234,0.14002799999999999,-0.252608,-0.11227000000000001,0.142675,0.140131,-0.22421,-0.140131,0.0,-0.25335799999999997,0.925,2.06323,1.69333,3.22467,7.690739999999999,1.6898900000000001,1.89032,1.96632,1.6543299999999999,3.08688,4.3311,1.81224,0.8888889999999999,1.19515,0.8222219999999999,1.19565,1.06294,6.35743,2.1453,1.43119,1.59493,1.6304,2.49246,1.2665,1.5141,1.8836400000000002,1.63636,0,0,5455,15
8,ENSG00000125804,0.11875,0.19,0.95,0.2375,0.2375,0.0,0.0,0.0678571,0.0,0.285,0.158333,0.76,0.158333,0.095,0.57,0.19,0.494870284846418,0.520476931052359,0.48927330412449005,0.408,0.4758,0.0,0.060413199,0.0399190222222222,0.0945665,2,1,0,0,13,6,3,6,0,0.058648900000000004,0.174095,0.7777810000000001,0.514116,0.5539999999999999,0.045152,0.015567099999999999,0.444115,0.21286300000000002,0.191711,0.333829,-0.11382300000000001,0.387409,-0.0325927,0.030123200000000003,0.0776635,0.670125,0.36169,0.11325,0.46656800000000004,1.06781,1.5664200000000001,2.50774,2.65962,2.87451,1.8880700000000001,2.09499,2.6130400000000003,2.97653,0.998726,0.9425709999999999,0.8705879999999999,1.86,1.176,0.939891,1.81595,1.1863299999999999,0.932941,1.42377,0.999467,1.17547,0.8609629999999999,1.04918,0.889524,4.72725,1.67914,1.96,0,0,214,1
9,ENSG00000129816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46574240560234703,0.48571428571428604,0.46484375,0.47,0.4643,0.0,0.0025884438,0.00453789,0.00399563,0,4,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7330599999999998,1.4909,1.12941,0.0,0.0,0.0,0.0,1.28,1.37037,1.07351,0.0,0.0,0.0,0.9756100000000001,0.0,1.07954,0.0,0.0,0.0,0.0,0.8888889999999999,1.0931799999999998,1.0303799999999999,1.07095,0,0,0,0
